,Player,Span,Mat,Inns,NO,Runs,HS,Ave,100,50,0,Unnamed: 11
15,KE Rigg (AUS),1931-1937,8,12,0,401,127,33.41,1,1,0,
16,BN Jarman (AUS),1959-1969,19,30,3,400,78,14.81,0,2,5,
17,NBF Mann (SA),1947-1951,19,31,1,400,52,13.33,0,1,4,
18,M van Jaarsveld (SA),2002-2004,9,15,2,397,73,30.53,0,3,0,
19,C Sharma (INDIA),1984-1989,23,27,9,396,54,22.0,0,1,2,
20,Abdur Rehman (PAK),2007-2014,22,31,3,395,60,14.1,0,2,4,
21,JW Gleeson (AUS),1967-1972,29,46,8,395,45,10.39,0,0,11,
22,Shujauddin (PAK),1954-1962,19,32,6,395,47,15.19,0,0,3,
23,S van Zyl (SA),2014-2016,12,17,2,395,101*,26.33,1,0,2,
24,JEF Beck (NZ),1953-1956,8,15,0,394,99,26.26,0,3,1,
25,FH Edwards (WI),2003-2012,55,88,28,394,30,6.56,0,0,19,
26,AS Joseph (WI),2016-2021,17,28,0,394,86,14.07,0,2,8,
27,SJ Rixon (AUS),1977-1985,13,24,3,394,54,18.76,0,2,4,
28,D Tallon (AUS),1946-1953,21,26,3,394,92,17.13,0,2,3,
29,W Gunn (ENG),1887-1899,11,20,2,392,102*,21.77,1,1,1,
30,CL Smith (ENG),1983-1986,8,14,1,392,91,30.15,0,2,1,
31,KMDN Kulasekara (SL),2005-2014,21,28,1,391,64,14.48,0,1,4,
32,RB Minnett (AUS),1911-1912,9,15,0,391,90,26.06,0,3,3,
33,ARC Fraser (ENG),1989-1998,46,67,15,388,32,7.46,0,0,9,
34,CO Browne (WI),1995-2005,20,30,6,387,68,16.12,0,1,7,
35,VC Drakes (WI),2002-2004,12,20,2,386,67,21.44,0,1,2,
36,J Mubarak (SL),2002-2015,13,23,1,385,49,17.5,0,0,5,
37,Rahmat Shah (AFG),2018-2021,6,12,0,385,102,32.08,1,3,3,
38,MJ Stewart (ENG),1962-1964,8,12,1,385,87,35.0,0,2,1,
39,Tapash Baisya (BAN),2002-2005,21,40,6,384,66,11.29,0,2,9,
40,EE Hemmings (ENG),1982-1991,16,21,4,383,95,22.52,0,2,5,
41,J Moroney (AUS),1949-1952,7,12,1,383,118,34.81,2,1,3,
42,LK Germon (NZ),1995-1997,12,21,3,382,55,21.22,0,1,3,
43,DR Parry (WI),1978-1980,12,20,3,381,65,22.41,0,3,3,
44,JS Patel (NZ),2006-2017,24,38,8,381,47,12.7,0,0,7,
45,PGH Fender (ENG),1921-1929,13,21,1,380,60,19.0,0,2,3,
46,RIC Holder (WI),1997-1999,11,17,2,380,91,25.33,0,2,1,
47,DK Morrison (NZ),1987-1997,48,71,26,379,42,8.42,0,0,24,
48,S Shivnarine (WI),1978-1979,8,14,1,379,63,29.15,0,4,2,
49,PGZ Harris (NZ),1955-1965,9,18,1,378,101,22.23,1,1,3,
0,GN Edwards (NZ),1977-1981,8,15,0,377,55,25.13,0,3,2,
1,FG Mann (ENG),1948-1949,7,12,2,376,136*,37.6,1,0,0,
2,DJ Capel (ENG),1987-1990,15,25,1,374,98,15.58,0,2,4,
3,GRA Langley (AUS),1951-1956,26,37,12,374,53,14.96,0,1,3,
4,KK Nair (INDIA),2016-2017,6,7,1,374,303*,62.33,1,0,1,
5,RO Schwarz (SA),1906-1912,20,35,8,374,61,13.85,0,1,6,
6,WGA Parkhouse (ENG),1950-1959,7,13,0,373,78,28.69,0,2,1,
7,RG Samuels (WI),1996-1997,6,12,2,372,125,37.2,1,1,0,
8,AE Dick (NZ),1961-1965,17,30,4,370,50*,14.23,0,1,4,
9,Talat Ali (PAK),1972-1979,10,18,2,370,61,23.12,0,2,2,
10,KDK Vithanage (SL),2013-2015,10,16,2,370,103*,26.42,1,1,1,
11,NAM McLean (WI),1998-2001,19,32,2,368,46,12.26,0,0,6,
12,IDK Salisbury (ENG),1992-2000,15,25,3,368,50,16.72,0,1,4,
13,PJ Wiseman (NZ),1998-2005,25,34,8,366,36,14.07,0,0,5,
14,NJN Hawke (AUS),1963-1968,27,37,15,365,45*,16.59,0,0,6,
15,WE Russell (ENG),1961-1967,10,18,1,362,70,21.29,0,2,2,
16,S Ramadhin (WI),1950-1961,43,58,14,361,44,8.2,0,0,14,
17,PR Adams (SA),1995-2004,45,55,15,360,35,9.0,0,0,8,
18,Danish Kaneria (PAK),2000-2010,61,84,33,360,29,7.05,0,0,25,
19,CMW Read (ENG),1999-2007,15,23,4,360,55,18.94,0,1,5,
20,PS de Villiers (SA),1993-1998,18,26,7,359,67*,18.89,0,2,3,
21,HJH Scott (AUS),1884-1886,8,14,1,359,102,27.61,1,1,0,
22,ID Craig (AUS),1953-1958,11,18,0,358,53,19.88,0,2,3,
23,BC Rose (ENG),1977-1981,9,16,2,358,70,25.57,0,2,0,
24,P Holmes (ENG),1921-1932,7,14,1,357,88,27.46,0,4,3,
25,Ibrahim Zadran (AFG),2019-2021,4,8,0,356,87,44.5,0,3,0,
26,SJ Pegler (SA),1910-1924,16,28,5,356,35*,15.47,0,0,6,
27,AJ Bichel (AUS),1997-2003,19,22,1,355,71,16.9,0,1,3,
28,JMM Commaille (SA),1910-1928,12,22,1,355,47,16.9,0,0,1,
29,BW Hilfenhaus (AUS),2009-2012,27,38,12,355,56*,13.65,0,1,8,
30,PNF Mansell (SA),1951-1955,13,22,2,355,90,17.75,0,2,3,
31,MS Nichols (ENG),1930-1939,14,19,7,355,78*,29.58,0,2,0,
32,MB Poore (NZ),1953-1956,14,24,1,355,45,15.43,0,0,6,
33,WA Shalders (SA),1899-1907,12,23,1,355,42,16.13,0,0,4,
34,DW Lawrence (ENG),2021-2021,8,15,2,354,81*,27.23,0,3,4,
35,RT Spooner (ENG),1951-1955,7,14,1,354,92,27.23,0,3,3,
36,MN Hart (NZ),1994-1995,14,24,4,353,45,17.65,0,0,3,
37,Hashmatullah Shahidi (AFG),2018-2021,5,10,4,353,200*,58.83,1,1,0,
38,BL Irvine (SA),1970-1970,4,7,0,353,102,50.42,1,2,0,
39,SAR Silva (SL),1983-1988,9,16,2,353,111,25.21,2,0,1,
40,HB Taber (AUS),1966-1970,16,27,5,353,48,16.04,0,0,3,
41,SB Joshi (INDIA),1996-2000,15,19,2,352,92,20.7,0,1,2,
42,JG Leggat (NZ),1952-1956,9,18,2,351,61,21.93,0,2,1,
43,S Matsikenyeri (ZIM),2003-2005,8,16,1,351,57,23.4,0,2,0,
44,DK Gaekwad (INDIA),1952-1961,11,20,1,350,52,18.42,0,1,3,
45,P Lever (ENG),1970-1975,17,18,2,350,88*,21.87,0,2,1,
46,CK Nayudu (INDIA),1932-1936,7,14,0,350,81,25.0,0,2,0,
47,SCG MacGill (AUS),1998-2008,44,47,11,349,43,9.69,0,0,12,
48,CR Matthews (SA),1992-1995,18,25,6,348,62*,18.31,0,1,4,
49,EP Nupen (SA),1921-1936,17,31,7,348,69,14.5,0,2,5,
0,Jahurul Islam (BAN),2010-2013,7,14,1,347,48,26.69,0,0,2,
1,PS Masvaure (ZIM),2016-2021,8,15,1,346,65,24.71,0,3,2,
2,LSM Miller (NZ),1953-1958,13,25,0,346,47,13.84,0,0,5,
3,MA Carberry (ENG),2010-2014,6,12,0,345,60,28.75,0,1,2,
4,EW Freeman (AUS),1968-1970,11,18,0,345,76,19.16,0,2,0,
5,Rizwan-uz-Zaman (PAK),1981-1989,11,19,1,345,60,19.16,0,3,2,
6,Sanwar Hossain (BAN),2001-2003,9,18,0,345,49,19.16,0,0,1,
7,Lord Tennyson (ENG),1913-1921,9,12,1,345,74*,31.36,0,4,1,
8,D Dasgupta (INDIA),2001-2002,8,13,1,344,100,28.66,1,2,2,
9,FA Rose (WI),1997-2000,19,28,2,344,69,13.23,0,1,2,
10,LA Stricker (SA),1910-1912,13,24,0,344,48,14.33,0,0,5,
11,TM Dowlin (WI),2009-2010,6,11,0,343,95,31.18,0,3,0,
12,FLH Mooney (NZ),1949-1954,14,22,2,343,46,17.15,0,0,1,
13,CA Best (WI),1986-1990,8,13,1,342,164,28.5,1,1,1,
14,DJ Brown (ENG),1965-1969,26,34,5,342,44*,11.79,0,0,6,
15,KL Hutchings (ENG),1907-1909,7,12,0,341,126,28.41,1,1,1,
16,CFK van Wyk (NZ),2012-2012,9,17,1,341,71,21.31,0,1,3,
17,AEE Vogler (SA),1906-1911,15,26,6,340,65,17.0,0,2,4,
18,TW Garrett (AUS),1877-1888,19,33,6,339,51*,12.55,0,1,5,
19,GJ Maxwell (AUS),2013-2017,7,14,1,339,104,26.07,1,0,0,
20,PP Shaw (INDIA),2018-2020,5,9,1,339,134,42.37,1,2,1,
21,A Nel (SA),2001-2008,36,42,8,337,34,9.91,0,0,11,
22,Mahmood Hussain (PAK),1952-1962,27,39,6,336,35,10.18,0,0,8,
23,Raqibul Hasan (BAN),2008-2011,9,18,1,336,65,19.76,0,1,2,
24,SD Robson (ENG),2014-2014,7,11,0,336,127,30.54,1,1,0,
25,HSTL Hendry (AUS),1921-1929,11,18,2,335,112,20.93,1,0,1,
26,R Rampaul (WI),2009-2012,18,31,8,335,40*,14.56,0,0,6,
27,MH Dekker (ZIM),1993-1996,14,22,1,333,68*,15.85,0,2,4,
28,Mohammad Mithun (BAN),2018-2021,10,18,0,333,67,18.5,0,2,4,
29,RC Blunt (NZ),1930-1932,9,13,1,330,96,27.5,0,1,1,
30,FR Foster (ENG),1911-1912,11,15,1,330,71,23.57,0,3,1,
31,VL Mehra (INDIA),1955-1964,8,14,1,329,62,25.3,0,2,1,
32,Wajahatullah Wasti (PAK),1999-2000,6,10,1,329,133,36.55,2,0,0,
33,AM Moir (NZ),1951-1959,17,30,8,327,41*,14.86,0,0,5,
34,MC Snedden (NZ),1981-1990,25,30,8,327,33*,14.86,0,0,6,
35,HF Wade (SA),1935-1936,10,18,2,327,40*,20.43,0,0,4,
36,ALF de Mel (SL),1982-1986,17,28,5,326,34,14.17,0,0,5,
37,GM Fullerton (SA),1947-1951,7,13,0,325,88,25.0,0,3,1,
38,CMH Hathorn (SA),1902-1911,12,20,1,325,102,17.1,1,0,1,
39,AJ Redmond (NZ),2008-2013,8,16,1,325,83,21.66,0,2,1,
40,Sohag Gazi (BAN),2012-2014,10,16,1,325,101*,21.66,1,0,3,
41,G Thomas (AUS),1965-1966,8,12,1,325,61,29.54,0,3,0,
42,MJ Leach (ENG),2018-2022,19,34,10,324,92,13.5,0,1,4,
43,CTB Turner (AUS),1887-1895,17,32,4,323,29,11.53,0,0,6,
44,TS Worthington (ENG),1930-1937,9,11,0,321,128,29.18,1,1,4,
45,DSBP Kuruppu (SL),1987-1991,4,7,1,320,201*,53.33,1,0,0,
46,A Mukund (INDIA),2011-2017,7,14,0,320,81,22.85,0,2,3,
47,KD Petersen (SA),2021-2022,5,9,0,320,82,35.55,0,3,0,
48,DR Smith (WI),2004-2006,10,14,1,320,105*,24.61,1,0,4,
49,DM Bess (ENG),2018-2021,14,19,5,319,57,22.78,0,1,3,
0,JF Crapp (ENG),1948-1949,7,13,2,319,56,29.0,0,3,1,
1,L Ronchi (NZ),2015-2016,4,8,0,319,88,39.87,0,2,1,
2,OAC Banks (WI),2003-2005,10,16,4,318,50*,26.5,0,1,1,
3,HJ Keith (SA),1953-1957,8,16,1,318,73,21.2,0,2,3,
4,Tauseef Ahmed (PAK),1980-1993,34,38,20,318,35*,17.66,0,0,6,
5,RJ Sidebottom (ENG),2001-2010,22,31,11,313,31,15.65,0,0,3,
6,JWA Taylor (ENG),2012-2016,7,13,1,312,76,26.0,0,2,1,
7,J Hardstaff snr (ENG),1907-1908,5,10,0,311,72,31.1,0,3,0,
8,KA Jamieson (NZ),2020-2022,12,15,3,311,51*,25.91,0,1,2,
9,BN French (ENG),1986-1988,16,21,4,308,59,18.11,0,1,2,
10,W Voce (ENG),1930-1947,27,38,15,308,66,13.39,0,1,6,
11,JK Lever (ENG),1976-1986,21,31,5,306,53,11.76,0,1,2,
12,Q McMillan (SA),1929-1932,13,21,4,306,50*,18.0,0,1,4,
13,Wahab Riaz (PAK),2010-2018,27,41,5,306,39,8.5,0,0,9,
14,DW Fleming (AUS),1994-2001,20,19,3,305,71*,19.06,0,2,7,
15,Shamsur Rahman (BAN),2014-2014,6,12,0,305,106,25.41,1,0,1,
16,BR Hartland (NZ),1992-1994,9,18,0,303,52,16.83,0,1,3,
17,AH Jarvis (AUS),1885-1895,11,21,3,303,82,16.83,0,1,1,
18,DJ Mitchell (NZ),2019-2022,7,8,1,303,102*,43.28,1,2,0,
19,DJ Murray (NZ),1994-1995,8,16,1,303,52,20.2,0,1,3,
20,KJ Arnott (ZIM),1992-1993,4,8,1,302,101*,43.14,1,1,1,
21,H Graham (AUS),1893-1896,6,10,0,301,107,30.1,2,0,2,
22,PAM Hands (SA),1913-1924,7,12,0,300,83,25.0,0,2,2,
23,Shadab Khan (PAK),2017-2020,6,11,2,300,56,33.33,0,3,0,
24,Tahir Naqqash (PAK),1982-1985,15,19,5,300,57,21.42,0,1,1,
25,G Brown (ENG),1921-1923,7,12,2,299,84,29.9,0,2,2,
26,MD Gunathilaka (SL),2017-2018,8,16,0,299,61,18.68,0,2,0,
27,Hasan Ali (PAK),2017-2021,17,25,5,299,30,14.95,0,0,4,
28,GB Legge (ENG),1927-1930,5,7,1,299,196,49.83,1,0,2,
29,ACB Langton (SA),1935-1939,15,23,4,298,73*,15.68,0,2,5,
30,A Mitchell (ENG),1933-1936,6,10,0,298,72,29.8,0,2,1,
31,TAM Siriwardana (SL),2015-2016,5,9,0,298,68,33.11,0,2,1,
32,S O'Linn (SA),1960-1961,7,12,1,297,98,27.0,0,2,0,
33,N Phillip (WI),1978-1979,9,15,5,297,47,29.7,0,0,1,
34,GE Palmer (AUS),1880-1886,17,25,4,296,48,14.09,0,0,3,
35,RS Cunis (NZ),1964-1972,20,31,8,295,51,12.82,0,1,6,
36,RS Kalpage (SL),1993-1999,11,18,2,294,63,18.37,0,2,0,
37,SJ Rhodes (ENG),1994-1995,11,17,5,294,65*,24.5,0,1,1,
38,OC Dawson (SA),1947-1949,9,15,1,293,55,20.92,0,1,1,
39,DF Whatmore (AUS),1979-1979,7,13,0,293,77,22.53,0,2,1,
40,L Amar Singh (INDIA),1932-1936,7,14,1,292,51,22.46,0,1,1,
41,HJ Howarth (NZ),1969-1977,30,42,18,291,61,12.12,0,1,7,
42,AO Jones (ENG),1899-1909,12,21,0,291,34,13.85,0,0,2,
43,AMB Rowan (SA),1947-1951,15,23,6,290,41,17.05,0,0,3,
44,KD Mills (NZ),2004-2009,19,30,5,289,57,11.56,0,1,5,
45,ARA Murray (SA),1952-1954,10,14,1,289,109,22.23,1,1,1,
46,DVP Wright (ENG),1938-1951,34,39,13,289,45,11.11,0,0,7,
47,Zahid Fazal (PAK),1990-1995,9,16,0,288,78,18.0,0,1,0,
48,DNT Zoysa (SL),1997-2004,30,40,6,288,28*,8.47,0,0,9,
49,PT Barton (NZ),1961-1963,7,14,0,285,109,20.35,1,1,1,
0,CJ Richards (ENG),1986-1988,8,13,0,285,133,21.92,1,0,2,
1,CB Lambert (WI),1991-1998,5,9,0,284,104,31.55,1,1,1,
2,FT Mann (ENG),1922-1923,5,9,1,281,84,35.12,0,2,0,
3,S Sreesanth (INDIA),2006-2011,27,40,13,281,35,10.4,0,0,10,
4,JM Wiener (AUS),1979-1980,6,11,0,281,93,25.54,0,2,0,
5,MC Bird (ENG),1910-1914,10,16,1,280,61,18.66,0,2,2,
6,ST Finn (ENG),2010-2016,36,47,22,279,56,11.16,0,1,9,
7,Ijaz Butt (PAK),1959-1962,8,16,2,279,58,19.92,0,1,1,
8,JWH Makepeace (ENG),1920-1921,4,8,0,279,117,34.87,1,2,0,
9,PA Wallace (WI),1997-1999,7,13,0,279,92,21.46,0,2,1,
10,AJ Finch (AUS),2018-2018,5,10,0,278,62,27.8,0,2,1,
11,LMP Simmons (WI),2009-2011,8,16,0,278,49,17.37,0,0,1,
12,GR Stead (NZ),1999-1999,5,8,0,278,78,34.75,0,2,0,
13,Nazar Mohammad (PAK),1952-1952,5,8,1,277,124*,39.57,1,1,1,
14,IM Barrow (WI),1930-1939,11,19,2,276,105,16.23,1,0,3,
15,Saleem Altaf (PAK),1967-1978,21,31,12,276,53*,14.52,0,1,4,
16,SL Malinga (SL),2004-2010,30,37,13,275,64,11.45,0,1,9,
17,WA Johnston (AUS),1947-1955,40,49,25,273,29,11.37,0,0,7,
18,GJ Thompson (ENG),1909-1910,6,10,1,273,63,30.33,0,2,0,
19,Abdul Kadir (PAK),1964-1965,4,8,0,272,95,34.0,0,2,2,
20,JC Alabaster (NZ),1955-1972,21,34,6,272,34,9.71,0,0,2,
21,WE Midwinter (AUS/ENG),1877-1887,12,21,1,269,37,13.45,0,0,1,
22,OA Shah (ENG),2006-2009,6,10,0,269,88,26.9,0,2,0,
23,MJ Susskind (SA),1924-1924,5,8,0,268,65,33.5,0,4,0,
24,Khaled Mahmud (BAN),2001-2003,12,23,1,266,45,12.09,0,0,4,
25,S Shillingford (WI),2010-2014,16,26,6,266,53*,13.3,0,1,7,
26,A Lyth (ENG),2015-2015,7,13,0,265,107,20.38,1,0,1,
27,Rubel Hossain (BAN),2009-2020,27,47,19,265,45*,9.46,0,0,7,
28,MJF Shrimpton (NZ),1963-1974,10,19,0,265,46,13.94,0,0,6,
29,Washington Sundar (INDIA),2021-2021,4,6,2,265,96*,66.25,0,3,2,
30,GA Bartlett (NZ),1961-1968,10,18,1,263,40,15.47,0,0,4,
31,GC Small (ENG),1986-1991,17,24,7,263,59,15.47,0,1,4,
32,GTS Stevens (ENG),1922-1930,10,17,0,263,69,15.47,0,1,2,
33,V Subramanya (INDIA),1965-1968,9,15,1,263,75,18.78,0,2,1,
34,SM Ervine (ZIM),2003-2004,5,8,0,261,86,32.62,0,3,1,
35,RW Price (ZIM),1999-2013,22,38,8,261,36,8.7,0,0,6,
36,AN Connolly (AUS),1963-1971,29,45,20,260,37,10.4,0,0,10,
37,RG Hart (NZ),2002-2003,11,19,3,260,57*,16.25,0,1,4,
38,Akram Khan (BAN),2000-2003,8,16,0,259,44,16.18,0,0,0,
39,DM Lewis (WI),1971-1971,3,5,2,259,88,86.33,0,3,0,
40,KJ O'Brien (IRE),2018-2019,3,6,1,258,118,51.6,1,1,0,
41,EC Petrie (NZ),1955-1966,14,25,5,258,55,12.9,0,1,2,
42,Arshad Ayub (INDIA),1987-1989,13,19,4,257,57,17.13,0,1,1,
43,Manjural Islam Rana (BAN),2004-2004,6,11,1,257,69,25.7,0,1,2,
44,DM Wellham (AUS),1981-1987,6,11,0,257,103,23.36,1,0,0,
45,J Selby (ENG),1877-1882,6,12,1,256,70,23.27,0,2,0,
46,BB Chari (ZIM),2014-2018,7,14,0,254,80,18.14,0,2,2,
47,Dilawar Hussain (INDIA),1934-1936,3,6,0,254,59,42.33,0,3,0,
48,W Flowers (ENG),1884-1893,8,14,0,254,56,18.14,0,1,0,
49,HV Hordern (AUS),1911-1912,7,13,2,254,50,23.09,0,1,1,
0,ADG Roberts (NZ),1976-1976,7,12,1,254,84*,23.09,0,1,2,
1,R Swetman (ENG),1959-1960,11,17,2,254,65,16.93,0,1,2,
2,Khalid Ibadulla (PAK),1964-1967,4,8,0,253,166,31.62,1,0,0,
3,EH Bowley (ENG),1929-1930,5,7,0,252,109,36.0,1,0,0,
4,TB Burtt (NZ),1947-1953,10,15,3,252,42,21.0,0,0,1,
5,NF Druce (ENG),1897-1898,5,9,0,252,64,28.0,0,1,0,
6,CM Francois (SA),1922-1923,5,9,1,252,72,31.5,0,1,0,
7,PA McAlister (AUS),1904-1909,8,16,1,252,41,16.8,0,0,0,
8,HGO Owen-Smith (SA),1929-1929,5,8,2,252,129,42.0,1,1,0,
9,Sohail Khan (PAK),2009-2016,9,12,2,252,65,25.2,0,1,0,
10,AJL Hill (ENG),1896-1896,3,4,0,251,124,62.75,1,1,0,
11,CRD Fernando (SL),2000-2012,40,47,17,249,39*,8.3,0,0,8,
12,G Geary (ENG),1924-1934,14,20,4,249,66,15.56,0,2,3,
13,KT Kasuza (ZIM),2020-2021,7,12,1,249,63,22.63,0,1,2,
14,VJ Marks (ENG),1982-1984,6,10,1,249,83,27.66,0,3,0,
15,HH Massie (AUS),1881-1885,9,16,0,249,55,15.56,0,1,2,
16,SN Thakur (INDIA),2018-2022,7,12,1,249,67,22.63,0,3,2,
17,Abdur Razzak (BAN),2006-2018,13,22,6,248,43,15.5,0,0,1,
18,SR Clark (AUS),2006-2009,24,26,7,248,39,13.05,0,0,5,
19,EJ Gray (NZ),1983-1988,10,16,0,248,50,15.5,0,1,0,
20,AW Roberts (NZ),1930-1937,5,10,1,248,66*,27.55,0,3,0,
21,MHW Papps (NZ),2004-2007,8,16,1,246,86,16.4,0,2,4,
22,J Yadav (INDIA),2016-2021,5,8,1,246,104,35.14,1,1,0,
23,TJ Zoehrer (AUS),1986-1987,10,14,2,246,52*,20.5,0,1,0,
24,BA Davis (WI),1965-1965,4,8,0,245,68,30.62,0,3,0,
25,RB Kenny (INDIA),1958-1960,5,10,1,245,62,27.22,0,3,2,
26,FA Lowson (ENG),1951-1955,7,13,0,245,68,18.84,0,2,2,
27,RK Nunes (WI),1928-1930,4,8,0,245,92,30.62,0,2,1,
28,FC Hayes (ENG),1973-1976,9,17,1,244,106*,15.25,1,0,6,
29,Shuvagata Hom (BAN),2014-2016,8,15,4,244,50,22.18,0,1,3,
30,XM Marshall (WI),2005-2009,7,12,0,243,85,20.25,0,2,1,
31,Mehrab Hossain jnr (BAN),2007-2009,7,13,1,243,83,20.25,0,1,1,
32,JB Mortimore (ENG),1959-1964,9,12,2,243,73*,24.3,0,1,1,
33,JW Trumble (AUS),1885-1886,7,13,1,243,59,20.25,0,1,1,
34,Ali Naqvi (PAK),1997-1998,5,9,1,242,115,30.25,1,0,0,
35,SF Barnes (ENG),1901-1914,27,39,9,242,38*,8.06,0,0,8,
36,CD Gopinath (INDIA),1951-1960,8,12,1,242,50*,22.0,0,1,4,
37,James Langridge (ENG),1933-1946,8,9,0,242,70,26.88,0,1,0,
38,D Williams (WI),1992-1998,11,19,1,242,65,13.44,0,1,7,
39,Mehrab Hossain (BAN),2000-2003,9,18,0,241,71,13.38,0,1,2,
40,JE Mills (NZ),1930-1933,7,10,1,241,117,26.77,1,0,2,
41,SLV Raju (INDIA),1990-2001,28,34,10,240,31,10.0,0,0,3,
42,C Bannerman (AUS),1877-1879,3,6,2,239,165*,59.75,1,0,0,
43,Naved-ul-Hasan (PAK),2004-2007,9,15,3,239,42*,19.91,0,0,2,
44,JC White (ENG),1921-1931,15,22,9,239,29,18.38,0,0,1,
45,RRS Cornwall (WI),2019-2021,9,15,2,238,73,18.3,0,2,1,
46,LE Plunkett (ENG),2005-2014,13,20,5,238,55*,15.86,0,1,7,
47,AW Carr (ENG),1922-1929,11,13,1,237,63,19.75,0,1,0,
48,FB Smith (NZ),1947-1952,4,6,1,237,96,47.4,0,2,0,
49,S Wazir Ali (INDIA),1932-1936,7,14,0,237,42,16.92,0,0,1,
0,G Dymock (AUS),1974-1980,21,32,7,236,31*,9.44,0,0,7,
1,CN Frank (SA),1921-1921,3,6,0,236,152,39.33,1,0,0,
2,MJ Henry (NZ),2015-2021,14,17,4,236,66,18.15,0,1,2,
3,DE Malcolm (ENG),1989-1997,40,58,19,236,29,6.05,0,0,16,
4,PT Collins (WI),1999-2006,32,47,7,235,24,5.87,0,0,14,
5,Hasan Raza (PAK),1996-2005,7,10,1,235,68,26.11,0,2,1,
6,KA Archer (AUS),1950-1951,5,9,0,234,48,26.0,0,0,1,
7,G Duckworth (ENG),1924-1936,24,28,12,234,39*,14.62,0,0,2,
8,EAE Baptiste (WI),1983-1990,10,11,1,233,87*,23.3,0,1,1,
9,R Kilner (ENG),1924-1926,9,8,1,233,74,33.28,0,2,0,
10,ML Love (AUS),2002-2003,5,8,3,233,100*,46.6,1,1,2,
11,FI de Caires (WI),1930-1930,3,6,0,232,80,38.66,0,2,1,
12,Mushfiqur Rahman (BAN),2001-2004,10,19,2,232,46*,13.64,0,0,5,
13,WH Lockwood (ENG),1893-1902,12,16,3,231,52*,17.76,0,1,3,
14,H Strudwick (ENG),1910-1926,28,42,13,230,24,7.93,0,0,5,
15,FH Tyson (ENG),1954-1959,17,24,3,230,37*,10.95,0,0,3,
16,Ashraf Ali (PAK),1982-1987,8,8,3,229,65,45.8,0,2,0,
17,HB Cave (NZ),1949-1958,19,31,5,229,22*,8.8,0,0,5,
18,JM Ghorpade (INDIA),1953-1959,8,15,0,229,41,15.26,0,0,3,
19,NS Harford (NZ),1955-1958,8,15,0,229,93,15.26,0,2,4,
20,JT Sparling (NZ),1958-1964,11,20,2,229,50,12.72,0,1,2,
21,AJ Tudor (ENG),1998-2002,10,16,4,229,99*,19.08,0,1,2,
22,WG Quaife (ENG),1899-1902,7,13,1,228,68,19.0,0,1,1,
23,AE Trott (AUS/ENG),1895-1899,5,9,3,228,85*,38.0,0,2,2,
24,JS Foster (ENG),2001-2002,7,12,3,226,48,25.11,0,0,1,
25,AO Malhotra (INDIA),1982-1985,7,10,1,226,72*,25.11,0,1,2,
26,MJ Procter (SA),1967-1970,7,10,1,226,48,25.11,0,0,1,
27,TBA May (AUS),1987-1995,24,28,12,225,42*,14.06,0,0,3,
28,D Mohammed (WI),2004-2006,5,8,1,225,52,32.14,0,1,0,
29,NS Tamhane (INDIA),1955-1961,21,27,5,225,54*,10.22,0,1,8,
30,MJL Turnbull (ENG),1930-1936,9,13,2,224,61,20.36,0,1,1,
31,J Benaud (AUS),1972-1973,3,5,0,223,142,44.6,1,0,0,
32,TC Lowry (NZ),1930-1931,7,8,0,223,80,27.87,0,2,2,
33,KCG Benjamin (WI),1992-1998,26,36,8,222,43*,7.92,0,0,8,
34,AE Greenidge (WI),1978-1979,6,10,0,222,69,22.2,0,2,2,
35,AA Mailey (AUS),1920-1926,21,29,9,222,46*,11.1,0,0,3,
36,CW Smith (WI),1960-1962,5,10,1,222,55,24.66,0,1,0,
37,WS Farrer (SA),1962-1964,6,10,2,221,40,27.62,0,0,0,
38,ST Gabriel (WI),2012-2021,56,84,32,221,20*,4.25,0,0,22,
39,DRA Gehrs (AUS),1904-1911,6,11,0,221,67,20.09,0,2,1,
40,Shafqat Rana (PAK),1964-1969,5,7,0,221,95,31.57,0,2,1,
41,RS Grant (WI),1935-1939,7,11,1,220,77,22.0,0,1,3,
42,MS Panesar (ENG),2006-2013,50,68,23,220,26,4.88,0,0,20,
43,NH Fairbrother (ENG),1987-1993,10,15,1,219,83,15.64,0,1,1,
44,RA Hutton (ENG),1971-1971,5,8,2,219,81,36.5,0,2,1,
45,RT Latham (NZ),1992-1993,4,7,0,219,119,31.28,1,0,1,
46,IE O'Brien (NZ),2005-2009,22,34,5,219,31,7.55,0,0,8,
47,KJ Wright (AUS),1979-1979,10,18,5,219,55*,16.84,0,1,2,
48,OE Wynne (SA),1948-1950,6,12,0,219,50,18.25,0,1,0,
49,JAH Marshall (NZ),2005-2008,7,11,0,218,52,19.81,0,1,2,
0,IT Shillingford (WI),1977-1978,4,7,0,218,120,31.14,1,0,0,
1,UWMBCA Welegedara (SL),2007-2014,21,30,6,218,48,9.08,0,0,4,
2,R Mutumbami (ZIM),2013-2014,6,12,1,217,43,19.72,0,0,1,
3,FR Spofforth (AUS),1877-1887,18,29,6,217,50,9.43,0,1,6,
4,W Storer (ENG),1897-1899,6,11,0,215,51,19.54,0,1,0,
5,JA Jameson (ENG),1971-1974,4,8,0,214,82,26.75,0,1,0,
6,JW Martin (AUS),1960-1967,8,13,1,214,55,17.83,0,1,3,
7,BS Sandhu (INDIA),1983-1983,8,11,4,214,71,30.57,0,2,1,
